"B01ND" "B12ND" "B23ND" "B34ND" "BR1FX" "BR2FX" "BR3FX" "BR4FX" "LAXS" "SLAS" "LLIFA" "LPEFR" "LNSLP" "NODWT" "NODLT" "Probability"
1758.827 1597.975 240.227 1088.675 2.602619 1.829789 3.231825 3.244238 516.1228 153.2969 1080.887 0.3463922 1.37403 7.553998 3.29482 6.51605768614813e-38
1758.827 1597.975 240.227 1088.675 2.579599 3.006888 3.604063 1.385071 742.3932 277.2025 1694.971 0.2584869 1.309374 3.340597 3.8876 2.60966581603109e-188
1758.827 1597.975 240.227 1088.675 3.868121 1.483341 1.964721 3.250922 720.0687 190.5355 1595.33 0.3001345 1.234432 11.37529 2.816437 5.7616333737038e-131
1758.827 1597.975 240.227 1088.675 3.277467 3.064479 1.415933 3.974002 854.1878 243.0937 1113.527 0.2528465 0.8696805 6.818585 3.855604 2.79992714757884e-52
1758.827 1597.975 240.227 1088.675 2.402848 2.976307 2.897262 1.064691 759.7408 207.5957 1557.588 0.2569846 1.494042 10.74987 2.402398 2.67138763532215e-161
1758.827 1597.975 240.227 1088.675 1.295352 1.894122 3.49808 1.483416 383.0883 210.7512 1363.06 0.2990553 0.8482008 10.09312 1.838114 4.54763148868637e-32
1758.827 1597.975 240.227 1088.675 2.098653 2.365329 1.515053 2.024259 455.9788 188.6714 1647.222 0.3466173 0.9083669 4.206762 3.727683 8.95831452948162e-26
1758.827 1597.975 240.227 1088.675 1.511041 3.121414 1.796452 3.000235 569.64 188.1536 1102.826 0.315271 1.222546 7.818637 1.283613 5.10287171737466e-45
1758.827 1597.975 240.227 1088.675 3.459551 2.096358 3.776755 3.09656 812.6375 246.5974 615.4441 0.2841342 1.343483 7.780362 2.419474 7.89298102665865e-40
1758.827 1597.975 240.227 1088.675 1.618606 1.100212 2.093649 3.165712 421.2253 234.484 1630.821 0.2186409 0.707585 5.166113 1.441405 1
