$GROWTH FACTOR OUTPUTS FILE

*DSSAT Cropping System Model Ver. 4.8.0.019 -develop  APR 08, 2023 12:34:37

*RUN   1        : IITA-TMS-IBA000070        CSYCA048 UYAB1901    1
 MODEL          : CSYCA048 - Cassava
 EXPERIMENT     : UYAB1901 CS UYT_GXE
 DATA PATH      :
 TREATMENT  1   : IITA-TMS-IBA000070        CSYCA048
  
!........DATES.......  ...TEMP... STAGE  ...PHENOLOGY....  ....PHOTOSYNTHESIS....  .....GROWTH..... H2O STRESS DETERMINANTS .N STRESS DETERMINANTS.
@YEAR DOY   DAS   DAP TMEAN TCDIF  GSTD    DU DYLFD  TFPD  WFPD  NFPD CO2FD RSFPD  TFGD  WFGD  NFGD WAVRD WUPRD  SWXD  EOPD  SNXD LN%RD SN%RD RN%RD            
 2019 169     1     0  28.8 -99.0     0   0.0  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 99.90  1.00  17.3  0.00   0.0  0.00  0.00  0.00
 2019 170     2     1  29.1 -29.1     0   0.0  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 99.90  1.00  18.5  0.00   0.0  0.00  0.00  0.00
 2019 171     3     2  26.5 -26.5     0   0.0  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 99.90  1.00  19.0  0.00   0.0  0.00  0.00  0.00
 2019 172     4     3  26.1 -26.1     0   0.0  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 99.90  1.00  24.5  0.00   0.0  0.00  0.00  0.00
 2019 173     5     4  26.0 -26.0     0   0.0  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 99.90  1.00  27.0  0.00   0.0  0.00  0.00  0.00
 2019 174     6     5  25.8 -25.8     0   0.0  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 99.90  1.00  24.2  0.00   0.0  0.00  0.00  0.00
 2019 175     7     6  24.8 -24.8     0   0.0  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 99.90  1.00  28.5  0.00   0.0  0.00  0.00  0.00
 2019 176     8     7  25.9 -25.9     0   0.0  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 99.90  1.00  27.1  0.00   0.0  0.00  0.00  0.00
 2019 177     9     8  25.2 -25.2     0   0.0  0.00  0.00  0.00  0.00 -0.06  0.00  0.00  0.00  0.00 99.90  1.00  31.7  0.00   0.0  1.00  1.00  1.00
 2019 178    10     9  24.6 -24.6 .0045   4.9  0.00  0.02  0.00  0.00 -0.06  0.00  0.00  0.00  0.00 99.90  1.00  32.0  0.00   0.0  1.00  1.00  1.00
