"Treatment" "HWAM" "CWAM" "LAIX" "IntegratedCombinedLikelihood"
3 0.370808494754086 0.104371660246104 3312.99555215285 128.219216698654
3 0.144988013711416 1.47610061092491 1218.78295232946 260.840143887511
3 0.208999873603256 1.33054408942968 1366.75062229995 380.070860249882
3 0.559013653949586 0.00980126814080988 1218.78295232946 6.67776385824004
3 1.15715802489251 1.48730755706164 3278.6643008495 5642.74478559367
3 0.00602221204032478 0.450666262475898 1366.75062229995 3.70937183871196
3 0.871863152066151 0.614313129282407 2184.06127565251 1169.7766261084
3 0.147820613257669 1.43468537103144 1218.78295232946 258.474700392115
3 0.619544897407787 1.09056025038632 2933.87772303583 1982.27753023278
3 0.00257087378247066 0.829377074982058 2509.47860129004 5.35076994368536
