"Treatment" "HWAM" "CWAM" "LAIX" "IntegratedCombinedLikelihood"
1 0.324014496325374 7.4473661515528e-15 3312.99555215285 7.99443913220697e-12
1 0.127953424259258 0.00280924358357249 1218.78295232946 0.438094379409352
1 0.28819704310684 0.000150921739742478 1366.75062229995 0.0594470904838952
1 0.675049367077167 7.83940856614812e-22 1218.78295232946 6.44978450340852e-19
1 1.23278748321946 0.00682742574093866 3278.6643008495 27.5957469211545
1 0.00580922023315136 7.67802027548375e-10 1366.75062229995 6.09616027035443e-09
1 0.980812779458059 1.30625316415247e-08 2184.06127565251 2.79819702153323e-05
1 0.130410387569868 0.040702867676675 1218.78295232946 6.46939345124037
1 0.736676901211254 0.524779358740505 2933.87772303583 1134.21609715201
1 0.00573728302385432 1.3492944589679 2509.47860129004 19.4265870303873
